No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
58,10/08/24,It ends with us,English,2024,,,Theatre,Justin Baldoni,131 min,"Drama, Romance",6.973,2024,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",Found,
57,04/08/24,Kill,Hindi,2024,,,Home,Nikhil Nagesh Bhat,105 min,"Action, Crime, Thriller, Drama",7.141,2024,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on, one by one.",Found,0
56,03/08/24,Raayan,Tamil,2024,,,Home,Dhanush,143 min,"Action, Drama, Thriller",6.0,2024,"Raayan, a simpleton patriarch has to protect his family when they inadvertently get muddled in a violent world with whirlpool of murder, debauchery, feud, politics and power, a quagmire that he has repeatedly warned them not to get pulled into.",Found,
55,28/07/24,Deadpool & Wolverine,English,2024,,,Theatre,Shawn Levy,128 min,"Action, Comedy, Science Fiction",7.559,2024,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Found,0
54,26/07/24,Life in a... Metro,Hindi,2007,,,Home,Anurag Basu,132 min,"Drama, Romance",6.364,2007,A group of Mumbai up-and-comers search for love and struggle for success in this ensemble drama that centers on an eager young call centre executive.,Found,
53,18/07/24,Longlegs,English,2024,,,Home,Osgood Perkins,101 min,"Horror, Thriller, Crime",6.563,2024,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family.",Found,
52,13/07/24,500 Days of Summer,English,2009,,2,Home,Marc Webb,95 min,"Comedy, Drama, Romance",7.297,2009,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",Found,
51,12/07/24,Maharaja,Tamil,2024,,,Home,Nithilan Saminathan,141 min,"Action, Thriller, Mystery",7.673,2024,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""Lakshmi"" has been taken, leaving them uncertain if it's a person or object, jeer at his request until they learn what they're really looking for.",Found,0
50,12/07/24,The Accused,English,1988,,,Home,Jonathan Kaplan,111 min,"Crime, Drama",7.071,1988,"Out drinking one night after a fight with her boyfriend, three men brutally rape Sarah Tobias in a bar while people watch and cheer. District Attorney Kathryn Murphy takes the case; however, she allows the rapists to receive a mild sentence. A distraught Sarah decides to seek punishment for the men who witnessed and encouraged the rape. To get justice, Sarah must take the stand and revisit the night of her attack.",Found,
49,07/07/24,Rockstar,Hindi,2011,,,Theatre,Imtiaz Ali,159 min,"Drama, Music, Romance",7.281,2011,"College student Janardhan is a simpleton who desperately seeks inspiration for the musician inside him. Although heartbreak helps him reach his goal, it also leads him to self-destruction.",Found,0
48,18/06/24,Easy A,English,2010,,4,Home,Will Gluck,93 min,Comedy,6.808,2010,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",Found,0
47,17/06/24,Ante Sundaraniki,Telugu,2022,,2,Home,Vivek Athreya,173 min,"Comedy, Romance, Family",7.2,2022,"A man from a Brahmin family falls in love with a Christian girl. In order to convince their parents, they say contrasting lies which complicates the situation and leads to a comedy of errors.",Found,
46,10/06/24,She's the Man,English,2006,,,Home,Andy Fickman,105 min,"Comedy, Romance",6.82,2006,"Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",Found,
45,09/06/24,Arthur The King,English,2024,,,Home,Simon Cellan Jones,107 min,"Adventure, Drama",7.576,2024,"Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean.",Found,
44,09/06/24,Begin Again,English,2013,,,Home,John Carney,104 min,"Comedy, Music, Romance, Drama",7.233,2014,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",Found,
43,09/06/24,Vikram,Tamil,2022,,,Home,Lokesh Kanagaraj,174 min,"Action, Crime, Thriller",7.603,2022,"Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved.",Found,0
42,08/06/24,Hit Man,English,2023,,,Home,Richard Linklater,116 min,"Comedy, Romance, Crime",6.793,2024,A mild-mannered professor moonlighting as a fake hit man in police stings ignites a chain reaction of trouble when he falls for a potential client.,Found,1
41,08/06/24,Get Out,English,2017,,,Home,Jordan Peele,104 min,"Mystery, Thriller, Horror",7.622,2017,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Found,0
40,06/06/24,Is Love Enough? - Sir,Hindi,2018,,,Home,Rohena Gera,99 min,"Drama, Romance",7.12,2018,"A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer.",Found,
39,03/06/24,Furiosa: A Mad Max Saga,English,2024,,,Theatre,George Miller,149 min,"Action, Science Fiction, Adventure",7.5,2024,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",Found,
38,27/05/24,Civil War,English,2024,,,Home,Alex Garland,109 min,"War, Action, Drama",6.8,2024,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Found,0
