No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
87,29/08/20,The Social Network,English,2010,Good,,Home,David Fincher,121 min,Drama,7.37,2010,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",Found,
86,28/08/20,Juno,English,2007,,,Home,Jason Reitman,96 min,"Comedy, Drama, Romance",7.1,2007,"Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.",Found,0
85,27/08/20,Dating Amber,English,2020,,,Home,David Freyne,92 min,"Comedy, Drama, Romance",7.126,2020,"Eddie and Amber decide to stage a relationship in order to stop everyone speculating about their sexuality. Eddie is keen to follow his dad into the military, while Amber dreams of moving to the liberal hub of London. The plan seems solid, but as their arrangement begins to fall apart, Eddie’s denial gets deeper as Amber realizes that a perilous future awaits her best friend unless she intervenes.",Found,
84,25/08/20,Dead Poets Society,English,1989,Good,,Home,Peter Weir,129 min,Drama,8.301,1989,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Found,
83,25/08/20,Mars: One Day on the Red Planet ,English,2020,,,Home,Martin Johnson,88 min,Documentary,6.7,2020,An epic journey around Mars — built from real satellite and rover data — revealing the red planet as you’ve never seen it before.,Found,
82,24/08/20,Trance,Malayalam,2020,,,Home,Anwar Rasheed,170 min,"Thriller, Drama",6.844,2020,A disheartened motivational speaker gets hired by a corporate to become a preacher until his live stint on television puts him and his service under the scanner.,Found,0
81,21/08/20,Class of '83,Hindi,2020,,,Home,Atul Sabharwal,98 min,"Action, Crime, Drama",5.9,2020,A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.,Found,
80,21/08/20,Justice League Dark: Apokolips War,English,2020,,,Home,"Matt Peters, Christina Sotta",90 min,"Animation, Action, Science Fiction, Adventure, Fantasy",8.217,2020,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",Found,
79,20/08/20,Justice League Dark,English,2017,,,Home,Jay Oliva,75 min,"Animation, Action, Adventure, Fantasy, Horror, Science Fiction",7.295,2017,"When innocent civilians begin committing unthinkable crimes across Metropolis, Gotham City and beyond, Batman must call upon mystical counterparts to eradicate this demonic threat to the planet; enter Justice League Dark. This team of Dark Arts specialists must unravel the mystery of Earth's supernatural plague and contend with the rising, powerful villainous forces behind the siege—before it's too late for all of mankind.",Found,
78,19/08/20,Gangs of Wasseypur - Part 2,Hindi,2012,,,Home,Anurag Kashyap,160 min,"Crime, Thriller, Action",7.8,2012,"After the death of his father and brother Danish, Faizal Khan vows to take revenge by destroying Ramadhir Singh's gang.",Found,
77,18/08/20,Gangs of Wasseypur - Part 1,Hindi,2012,Good,,Home,Anurag Kashyap,160 min,"Action, Thriller, Crime",7.074,2012,"In 1970s India, Sardar Khan vows to take revenge on the man who killed his father decades earlier.",Found,
76,17/08/20,Back to the Future III,English,1990,,,Home,Robert Zemeckis,119 min,"Adventure, Comedy, Science Fiction",7.489,1990,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",Found,0
75,16/08/20,Lock up,Tamil,2020,,,Home,SG Charles,106 min,"Crime, Thriller",6.0,2020,The mysterious death of a cop becomes complex as investigation progresses because of fabricated evidences and indirect involvement of a few other cops in the case.,Found,
74,16/08/20,Back to the Future II,English,1989,,,Home,Robert Zemeckis,108 min,"Adventure, Comedy, Science Fiction",7.775,1989,"Marty and Doc are at it again as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",Found,0
73,15/08/20,Ok Kanmani,Tamil,2015,Good,,Home,Mani Ratnam,139 min,"Romance, Drama",7.0,2015,"Aadi and Tara fall in love but both hate the idea of marriage and plan to separate when their lives take them to different countries. However, as they grow closer, their emotions are not easily managed.",Found,
72,14/08/20,Jersey,Telugu,2019,Good,,Home,Gowtam Tinnanuri,160 min,Drama,8.094,2019,"After his career fails to take off, a gifted cricketer in his mid-thirties decides that he’s not ready to give up quite yet.",Found,0
71,12/08/20,Taramani,Tamil,2017,Good,,Home,Ram,150 min,"Drama, Romance",6.722,2017,"An orthodox youngster and a free-spirited lady fall in love, only to understand that they are different in all aspects of life. How do they realise their complex requirements and mistakes?",Found,
70,11/08/20,The Matrix,English,1999,,,Home,"Lana Wachowski, Lilly Wachowski",136 min,"Action, Science Fiction",8.237,1999,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Found,0
69,27/07/20,Dil Bechara,Hindi,2020,Good, ,Home,Mukesh Chhabra,101 min,"Drama, Romance",6.648,2020,"Kizie and Manny, two ordinary people brought together by a tragic twist, embark on a bittersweet and extraordinary journey into the heart of that crazy little thing called 'life'.",Found,
68,25/07/20,Greyhound,English,2020,Good,,Home,Aaron Schneider,92 min,"War, Action, Drama",7.412,2020,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the ""Black Pit"" to the front lines of WWII. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",Found,
67,23/07/20,Neram,Tamil,2013,,,Home,Alphonse Puthren,116 min,"Comedy, Thriller, Drama, Action",7.1,2013,"Mathew is a graduate in software engineering, but is now jobless. He is waiting for his good time to get a good job. Mathew has borrowed some money as loan. Now he cannot give it back as he has no job.  Mathew's childhood friend Jeena Johnykkutty is ready to help him as she could. She has a job. Her father Johnykkutty does not like Mathew and he always tries to trouble Mathew whenever he gets a chance.  At this time Mathew's good time arrives; but along with it many problems too. The gripping events that follow plot the rest of 'Neram'.",Found,
66,20/07/20,The Old Guard,English,2020,,,Home,Gina Prince-Bythewood,125 min,"Action, Fantasy",7.109,2020,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,Found,0
65,15/07/20,Palm Springs,English,2020,Good,,Home,Max Barbakow,90 min,"Comedy, Romance, Science Fiction",7.332,2020,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",Found,0
64,10/07/20,Back to the Future I,English,1985,,,Home,Robert Zemeckis,116 min,"Adventure, Comedy, Science Fiction",8.323,1985,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",Found,0
63,30/06/20,Kappela,Malayalam,2020,,,Home,Muhammad Musthafa,110 min,"Romance, Mystery",6.5,2020,"Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.",Found,
62,23/06/20,The King of Staten Island,English,2020,,,Home,Judd Apatow,137 min,"Comedy, Drama",7.022,2020,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",Found,
61,22/06/20,Shutter Island,English,2010,Good,,Home,Martin Scorsese,138 min,"Drama, Thriller, Mystery",8.201,2010,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Found,
60,22/06/20,Forrest Gump,English,1994,,,Home,Robert Zemeckis,142 min,"Comedy, Drama, Romance",8.462,1994,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Found,0
59,14/06/20,The Bourne Identity,English,2002,,,Home,Doug Liman,119 min,"Action, Drama, Mystery, Thriller",7.469,2002,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",Found,
58,12/06/20,Watchmen,English,2009,,,Home,Zack Snyder,163 min,"Mystery, Action, Science Fiction",7.349,2009,"In a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close by a government crackdown. But after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so they uncover a sinister plot that puts all of humanity in grave danger.",Found,0
57,08/06/20,Dhuruvangal Pathinaaru,Tamil,2016,,,Home,Karthick Naren,106 min,"Thriller, Action, Crime, Mystery",7.8,2016,A former cop looks back on the case which left him disabled and forced him to quit the force.,Found,
56,07/06/20,Soodhu Kavvum,Tamil,2013,,,Home,Nalan Kumarasamy,138 min,"Comedy, Thriller, Crime",7.1,2013,Dass specialises in small time kidnapping and has his own set of rules. The primary and most important among them is not to get involved with influential people. Three jobless youngsters meet Dass and the four take up an assignment for a hefty sum that throws away this primary rule and end up being chased by a dreaded policeman.,Found,
55,07/06/20,The Departed,English,2006,,,Home,Martin Scorsese,151 min,"Drama, Thriller, Crime",8.159,2006,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",Found,0
54,03/06/20,District 9,English,2009,Good,,Home,Neill Blomkamp,112 min,Science Fiction,7.455,2009,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",Found,
53,27/05/20,The Hitchhiker's Guide to the Galaxy,English,2005,,,Home,Garth Jennings,109 min,"Adventure, Comedy, Science Fiction",6.679,2005,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Found,0
52,26/05/20,Scarface,English,1983,,,Home,Brian De Palma,170 min,"Action, Crime, Drama",8.16,1983,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Found,
51,22/05/20,American Psycho,English,2000,,,Home,Mary Harron,102 min,"Thriller, Drama, Crime",7.407,2000,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",Found,
50,20/05/20,Vaaranam Aayiram,Tamil,2008,,,Home,Gautham Vasudev Menon,169 min,"Drama, Romance",7.4,2008,"A son deals with the death of his father and examines how their relationship influences him through growing up, romance, tragedy and adventure.",Found,
49,10/05/20,Catch Me If You Can,English,2002,Good,,Home,Steven Spielberg,141 min,"Drama, Crime",7.979,2002,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",Found,
48,06/05/20,Basic Instinct,English,1992,,,Home,Paul Verhoeven,128 min,"Thriller, Mystery",6.926,1992,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.",Found,
47,05/05/20,Reservoir Dogs,English,1992,,,Home,Quentin Tarantino,99 min,"Crime, Thriller",8.117,1992,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",Found,
46,03/05/20,The Godfather Part III,English,1990,,,Home,Francis Ford Coppola,162 min,"Crime, Drama, Thriller",7.418,1990,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",Found,
45,26/04/20,Varane Avashyamund,Malayalam,2020,,,Home,Anoop Sathyan,145 min,"Comedy, Family, Romance",6.5,2020,"A divorced woman trying to get hired as a French tutor and teaching classical dance, and she has a daughter. Her brother Manuel also resides in a flat in Chennai. Their next door neighbours are Unnikrishnan, a retired Major who has a pet dog, Prabhakaran and Bibeesh who lives with a serial-actress aunt (not related by blood) and his young school going brother. The story revolves around the divorced mother and daughter finding happiness of love in their own ways. The film explores commonality of romantic love in different stages of life.",Found,
44,22/04/20,The Godfather Part II,English,1974,,,Home,Francis Ford Coppola,202 min,"Drama, Crime",8.6,1974,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",Found,
43,20/04/20,The Godfather,English,1972,,,Home,Francis Ford Coppola,175 min,"Drama, Crime",8.687,1972,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",Found,0
42,17/04/20,The Accountant,English,2016,Good,,Home,Gavin O'Connor,128 min,"Crime, Thriller, Drama",7.132,2016,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Found,0
41,16/04/20,Gone Girl ,English,2014,Good,,Home,David Fincher,149 min,"Mystery, Thriller, Drama",7.89,2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Found,
40,15/04/20,American Beauty ,English,1999,Good,,Home,Sam Mendes,122 min,Drama,8.003,1999,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Found,
39,08/04/20,Taxi Driver,English,1976,,,Home,Martin Scorsese,114 min,"Crime, Drama",8.129,1976,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.",Found,0
38,07/04/20,The Platform,Spanish,2019,,,Home,Galder Gaztelu-Urrutia,95 min,"Drama, Science Fiction, Thriller",6.97,2019,"A slab of food descends down a vertical facility. The residents above eat heartily, leaving those below starving and desperate. A rebellion is imminent.",Found,0
37,02/04/20,Bad Boys for Life,English,2020,,,Home,"Bilall Fallah, Adil El Arbi",124 min,"Thriller, Action, Crime",7.1,2020,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",Found,
36,01/04/20,Dia,Kannada,2020,,,Home,Charlotte Blom,87 min,"Drama, Comedy",5.8,2020,"It's July 29, 1981. In the majestic St Paul's Cathedral in London, Lady Diana Spencer marries Prince Charles. The same day, another celebration takes place in the canteen of a Norwegian small-town factory. It’s the newly-weds LIV and TERJE'S wedding party. In the pram lies their new-born daughter, DIANA, who, like her famous namesake, will be facing a lot of chaos in the years to come thanks to her parents. The wedding, and following years, are less glamorous than the royal counterpart, but indisputably much more fun. Through the eyes of Diana, we witness the rollercoaster of her parent’s marriage. To her, they are the worst parents in the world. Miles away from doing a decent job, constantly fighting yet still in love by the time Diana is preparing for her own marriage 30 years later.",Found,
35,28/03/20,Irudhi Suttru,Tamil,2016,,,Home,Sudha Kongara Prasad,109 min,Drama,7.4,2016,"A grumpy boxing coach takes on a young, rebellious woman under his wings and starts training her for the world championship. But their biggest battle has to be fought outside the ring.",Found,
34,27/03/20,The Gentlemen,English,2019,,,Home,Guy Ritchie,113 min,"Comedy, Crime",7.669,2020,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Found,1
33,26/03/20,Little Women,English,2019,,,Home,Greta Gerwig,135 min,"Drama, Romance, History",7.862,2019,Four sisters come of age in America in the aftermath of the Civil War.,Found,
32,25/03/20,That Awkward Moment,English,2014,,,Home,Tom Gormican,94 min,"Comedy, Romance",6.143,2014,"Best pals Jason and Daniel indulge in casual flings and revel in their carefree, unattached lives. After learning that the marriage of their friend Mikey is over, they gladly welcome him back into their circle. The three young men make a pact to have fun and avoid commitment. However, when all three find themselves involved in serious relationships, they must keep their romances secret from one another.",Found,
31,24/03/20,Emma,English,2020,,,Home,Autumn de Wilde,125 min,"Comedy, Romance",7.012,2020,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",Found,0
30,23/03/20,The Invisible Man,English,2020,,,Home,Leigh Whannell,124 min,"Thriller, Science Fiction, Horror",7.102,2020,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",Found,0
29,22/03/20,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),English,2020,,,Home,Cathy Yan,109 min,"Action, Crime",6.892,2020,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",Found,
28,22/03/20,Uncut Gems,English,2019,,,Home,"Benny Safdie, Josh Safdie",136 min,"Drama, Thriller, Crime",7.151,2019,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",Found,
27,21/03/20,Kannum Kannum Kollaiyadithaal,Tamil,2020,,,Home,Desingh Periyasamy,162 min,"Romance, Comedy, Drama",6.8,2020,Two wily online scammers mend their fraudulent ways after meeting the girls of their dreams — until a deceitful discovery throws their world for a loop.,Found,
26,19/03/20,Contagion,English,2011,Good,,Home,Steven Soderbergh,106 min,"Drama, Thriller, Science Fiction",6.6,2011,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",Found,0
25,17/03/20,Star Wars The Rise of Skywalker,English,2019,,,Home,J.J. Abrams,142 min,"Adventure, Action, Science Fiction",6.282,2019,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",Found,
24,15/03/20,The Shining,English,1980,,,Home,Stanley Kubrick,144 min,"Horror, Thriller",8.2,1980,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",Found,0
23,14/03/20,Psycho,Tamil,2020,,,Home,Mysskin,145 min,"Thriller, Drama",5.1,2020,"Based on the Buddhist tale of Angulimala, a dreaded serial killer, Psycho tells the story of a blind man who gets involved in a murder mystery. trying to save his lover from a psychopath who has kidnapped her.",Found,0
22,14/03/20,Her,English,2013,Good,,Home,Spike Jonze,126 min,"Romance, Science Fiction, Drama",7.841,2013,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",Found,0
21,09/03/20,8 Thottakkal,Tamil,2017,Good,,Home,Sri Ganesh,145 min,"Thriller, Action, Crime",7.3,2017,"A cop’s pistol gets stolen and even as the search for it gets underway, it ends up in the hands of someone who uses it to rob a bank.",Found,
20,09/03/20,V1 Murder Case,Tamil,2019,,,Home,Pavel Navageethan,112 min,"Thriller, Drama, Mystery, Crime",5.3,2019,"An intelligent forensic officer starts investigating a murder, but he faces a slew of challenges as he suffers from nyctophobia. Will he be able to solve the case?",Found,
19,07/03/20,Oh My Kadavule,Tamil,2020,Good,,Home,Ashwath Marimuthu,154 min,"Comedy, Romance",8.0,2020,Arjun is conveniently married to his best friend Anu and their marriage turns out to be a nightmare since he is not really in love with her. When things get tough Arjun gets a second chance in life that could change his path and perspective altogether.,Found,
18,01/03/20,Apollo,English,2019,,,Home,Todd Douglas Miller,93 min,"Documentary, History, Drama",7.882,2019,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilot Buzz Aldrin.,Found,0
17,26/02/20,Dark Waters,English,2019,Good,,Home,Todd Haynes,127 min,"Drama, Thriller",7.535,2019,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.",Found,0
16,24/02/20,Midnight Sun,English,2018,Good,,Home,Scott Speer,91 min,"Romance, Drama",7.8,2018,"Katie, a 17-year-old, has been sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.",Found,0
15,20/02/20,To all the boys P.S. I still love you,English,2020,Good,,Home,Michael Fimognari,102 min,"Romance, Comedy",6.821,2020,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,Found,
14,16/02/20,Jojo Rabbit,English,2019,,,Home,Taika Waititi,108 min,"Comedy, War, Drama",7.998,2019,"Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity.",Found,
13,15/02/20,1917,English,2020,,,Home,Sam Mendes,119 min,"War, History, Drama, Action",7.985,2019,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",Found,-1
12,11/02/20,Knives out,English,2019,Good,,Home,Rian Johnson,131 min,"Comedy, Crime, Mystery",7.843,2019,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",Found,
11,09/02/20,Sillu Karuppatti ,Tamil,2019,Good,,Home,Halitha Shameem,138 min,"Drama, Romance",7.0,2019,An anthology of four romantic stories across four age groups connected by that magical thread called love.,Found,
10,06/02/20,Marriage Story,English,2019,,,Home,Noah Baumbach,137 min,Drama,7.732,2019,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",Found,0
9,31/01/20,Shoplifters,Japanese,2018,,,Home,Hirokazu Kore-eda,120 min,"Drama, Crime, Thriller",7.851,2018,"In the outskirts of Tokyo, a poor but close-knit group living on the fringes of society survives through shoplifting and odd jobs. When Osamu and his son take in a neglected young girl, their already fragile existence begins to unravel. As the family grows attached to her, buried secrets surface, forcing them to confront the true meaning of love, belonging, and what makes a family.",Found,
8,29/01/20,Rocketman,English,2019,,,Home,Dexter Fletcher,121 min,"Music, Drama",7.306,2019,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",Found,0
7,29/01/20,Terminator Dark Fate,English,2019,,,Home,Tim Miller,128 min,"Science Fiction, Action, Adventure, Thriller",6.4,2019,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",Found,
6,28/01/20,The Lord of the Rings: The return of the King,English,2003,,,Home,Peter Jackson,201 min,"Adventure, Fantasy, Action",8.493,2003,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",Found,0
5,25/01/20,Parasite,Korean,2019,,,Home,Bong Joon Ho,133 min,"Comedy, Thriller, Drama",8.495,2019,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",Found,0
4,14/01/20,The Lord of the Rings: The Two Towers,English,2002,,,Home,Peter Jackson,179 min,"Adventure, Fantasy, Action",8.41,2002,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",Found,
3,10/01/20,Ford v Ferrari,English,2019,Good,,Home,James Mangold,153 min,"Drama, Action, History",8.006,2019,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",Found,
2,09/01/20,Super 30,Hindi,2019,,,Home,Vikas Bahl,153 min,Drama,7.214,2019,Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for financially weak IIT aspirants in Patna.,Found,0
1,06/01/20,The Lord of the Rings: The Fellowship of the Ring,English,2001,,,Home,Peter Jackson,179 min,"Adventure, Fantasy, Action",8.4,2001,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",Found,0
138,31/12/19,Asuran,Tamil,2019,,,Home,Vetrimaaran,141 min,"Action, Drama",7.8,2019,A family from the underprivileged class is on the run after the teenaged son kills a rich man from the upper caste. Can the pacifist father be able to save his hot-blooded son?,Found,
137,29/12/19,The Report,English,2019,Good,,Home,Scott Z. Burns,119 min,Drama,7.04,2019,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",Found,0
136,28/12/19,Abominable,English,2019,,,Home,Jill Culton,97 min,"Family, Animation, Adventure, Comedy, Fantasy",7.452,2019,"A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.",Found,0
135,28/12/19,IT Chapter Two,English,2019,,,Home,Andy Muschietti,169 min,"Horror, Thriller, Drama",6.8,2019,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",Found,0
